time,year,value,gender,age_group,time_unit
19,2020,0,transgender,,weekly
19,2021,0,transgender,,weekly
20,2015,0,transgender,,weekly
20,2016,0,transgender,,weekly
20,2017,0,transgender,,weekly
20,2018,0,transgender,,weekly
20,2019,0,transgender,,weekly
20,2020,1,transgender,,weekly
20,2021,1,transgender,,weekly
21,2015,0,transgender,,weekly
21,2016,0,transgender,,weekly
21,2017,1,transgender,,weekly
21,2018,1,transgender,,weekly
21,2019,0,transgender,,weekly
21,2020,1,transgender,,weekly
21,2021,0,transgender,,weekly
22,2015,0,transgender,,weekly
22,2016,0,transgender,,weekly
22,2017,0,transgender,,weekly
22,2018,0,transgender,,weekly
22,2019,0,transgender,,weekly
22,2020,1,transgender,,weekly
22,2021,0,transgender,,weekly
23,2015,0,transgender,,weekly
23,2016,0,transgender,,weekly
23,2017,0,transgender,,weekly
23,2018,1,transgender,,weekly
23,2019,1,transgender,,weekly
23,2020,0,transgender,,weekly
23,2021,0,transgender,,weekly
24,2015,0,transgender,,weekly
24,2016,0,transgender,,weekly
24,2017,0,transgender,,weekly
24,2018,1,transgender,,weekly
24,2019,1,transgender,,weekly
24,2020,0,transgender,,weekly
24,2021,0,transgender,,weekly
25,2015,0,transgender,,weekly
25,2016,0,transgender,,weekly
25,2017,0,transgender,,weekly
25,2018,0,transgender,,weekly
25,2019,0,transgender,,weekly
25,2020,0,transgender,,weekly
25,2021,0,transgender,,weekly
26,2015,0,transgender,,weekly
26,2016,0,transgender,,weekly
26,2017,1,transgender,,weekly
26,2018,0,transgender,,weekly
26,2019,0,transgender,,weekly
26,2020,0,transgender,,weekly
26,2021,0,transgender,,weekly
27,2015,0,transgender,,weekly
27,2016,0,transgender,,weekly
27,2017,0,transgender,,weekly
27,2018,0,transgender,,weekly
27,2019,3,transgender,,weekly
27,2020,0,transgender,,weekly
27,2021,0,transgender,,weekly
28,2015,0,transgender,,weekly
28,2016,0,transgender,,weekly
28,2017,0,transgender,,weekly
28,2018,0,transgender,,weekly
28,2019,0,transgender,,weekly
28,2020,1,transgender,,weekly
28,2021,0,transgender,,weekly
29,2015,0,transgender,,weekly
29,2016,0,transgender,,weekly
29,2017,0,transgender,,weekly
29,2018,0,transgender,,weekly
29,2019,0,transgender,,weekly
29,2020,0,transgender,,weekly
29,2021,0,transgender,,weekly
30,2015,0,transgender,,weekly
30,2016,0,transgender,,weekly
30,2017,1,transgender,,weekly
30,2018,0,transgender,,weekly
30,2019,0,transgender,,weekly
30,2020,0,transgender,,weekly
30,2021,1,transgender,,weekly
31,2015,0,transgender,,weekly
31,2016,0,transgender,,weekly
31,2017,0,transgender,,weekly
31,2018,0,transgender,,weekly
31,2019,1,transgender,,weekly
31,2020,0,transgender,,weekly
31,2021,0,transgender,,weekly
32,2015,0,transgender,,weekly
32,2016,0,transgender,,weekly
32,2017,0,transgender,,weekly
32,2018,0,transgender,,weekly
32,2019,0,transgender,,weekly
32,2020,0,transgender,,weekly
32,2021,0,transgender,,weekly
33,2015,0,transgender,,weekly
33,2016,0,transgender,,weekly
33,2017,0,transgender,,weekly
33,2018,0,transgender,,weekly
33,2019,0,transgender,,weekly
33,2020,1,transgender,,weekly
33,2021,0,transgender,,weekly
34,2015,0,transgender,,weekly
34,2016,0,transgender,,weekly
34,2017,0,transgender,,weekly
34,2018,0,transgender,,weekly
34,2019,0,transgender,,weekly
34,2020,1,transgender,,weekly
34,2021,0,transgender,,weekly
35,2015,0,transgender,,weekly
35,2016,0,transgender,,weekly
35,2017,1,transgender,,weekly
35,2018,0,transgender,,weekly
35,2019,0,transgender,,weekly
35,2020,0,transgender,,weekly
35,2021,0,transgender,,weekly
36,2015,0,transgender,,weekly
36,2016,0,transgender,,weekly
36,2017,0,transgender,,weekly
36,2018,0,transgender,,weekly
36,2019,1,transgender,,weekly
36,2020,0,transgender,,weekly
36,2021,0,transgender,,weekly
37,2015,0,transgender,,weekly
37,2016,0,transgender,,weekly
37,2017,0,transgender,,weekly
37,2018,0,transgender,,weekly
37,2019,0,transgender,,weekly
37,2020,0,transgender,,weekly
37,2021,1,transgender,,weekly
38,2015,0,transgender,,weekly
38,2016,0,transgender,,weekly
38,2017,0,transgender,,weekly
38,2018,0,transgender,,weekly
38,2019,0,transgender,,weekly
38,2020,0,transgender,,weekly
38,2021,0,transgender,,weekly
39,2015,0,transgender,,weekly
39,2016,0,transgender,,weekly
39,2017,1,transgender,,weekly
39,2018,0,transgender,,weekly
39,2019,0,transgender,,weekly
39,2020,0,transgender,,weekly
39,2021,0,transgender,,weekly
40,2015,0,transgender,,weekly
40,2016,0,transgender,,weekly
40,2017,0,transgender,,weekly
40,2018,0,transgender,,weekly
40,2019,1,transgender,,weekly
40,2020,0,transgender,,weekly
40,2021,0,transgender,,weekly
41,2015,0,transgender,,weekly
41,2016,0,transgender,,weekly
41,2017,0,transgender,,weekly
41,2018,0,transgender,,weekly
41,2019,0,transgender,,weekly
41,2020,0,transgender,,weekly
41,2021,0,transgender,,weekly
42,2015,0,transgender,,weekly
42,2016,0,transgender,,weekly
42,2017,0,transgender,,weekly
42,2018,0,transgender,,weekly
42,2019,0,transgender,,weekly
42,2020,0,transgender,,weekly
42,2021,0,transgender,,weekly
43,2015,0,transgender,,weekly
43,2016,0,transgender,,weekly
43,2017,0,transgender,,weekly
43,2018,1,transgender,,weekly
43,2019,0,transgender,,weekly
43,2020,0,transgender,,weekly
43,2021,0,transgender,,weekly
44,2015,0,transgender,,weekly
44,2016,0,transgender,,weekly
44,2017,0,transgender,,weekly
44,2018,0,transgender,,weekly
44,2019,1,transgender,,weekly
44,2020,0,transgender,,weekly
44,2021,0,transgender,,weekly
45,2015,0,transgender,,weekly
45,2016,1,transgender,,weekly
45,2017,0,transgender,,weekly
45,2018,2,transgender,,weekly
45,2019,0,transgender,,weekly
45,2020,1,transgender,,weekly
45,2021,0,transgender,,weekly
46,2015,0,transgender,,weekly
46,2016,0,transgender,,weekly
46,2017,1,transgender,,weekly
46,2018,1,transgender,,weekly
46,2019,0,transgender,,weekly
46,2020,0,transgender,,weekly
46,2021,0,transgender,,weekly
47,2015,0,transgender,,weekly
47,2016,0,transgender,,weekly
47,2017,0,transgender,,weekly
47,2018,0,transgender,,weekly
47,2019,0,transgender,,weekly
47,2020,0,transgender,,weekly
47,2021,0,transgender,,weekly
48,2015,0,transgender,,weekly
48,2016,0,transgender,,weekly
48,2017,0,transgender,,weekly
48,2018,1,transgender,,weekly
48,2019,0,transgender,,weekly
48,2020,0,transgender,,weekly
48,2021,0,transgender,,weekly
49,2015,0,transgender,,weekly
49,2016,0,transgender,,weekly
49,2017,0,transgender,,weekly
49,2018,1,transgender,,weekly
49,2019,0,transgender,,weekly
49,2020,0,transgender,,weekly
49,2021,0,transgender,,weekly
50,2015,0,transgender,,weekly
50,2016,1,transgender,,weekly
50,2017,1,transgender,,weekly
50,2018,0,transgender,,weekly
50,2019,0,transgender,,weekly
50,2020,1,transgender,,weekly
50,2021,0,transgender,,weekly
51,2015,0,transgender,,weekly
51,2016,0,transgender,,weekly
51,2017,1,transgender,,weekly
51,2018,0,transgender,,weekly
51,2019,1,transgender,,weekly
51,2020,0,transgender,,weekly
51,2021,1,transgender,,weekly
52,2015,0,transgender,,weekly
52,2016,0,transgender,,weekly
52,2017,0,transgender,,weekly
52,2018,0,transgender,,weekly
52,2019,0,transgender,,weekly
52,2020,0,transgender,,weekly
52,2021,0,transgender,,weekly
53,2015,0,transgender,,weekly
53,2016,0,transgender,,weekly
53,2017,0,transgender,,weekly
53,2018,0,transgender,,weekly
53,2019,0,transgender,,weekly
53,2020,0,transgender,,weekly
53,2021,0,transgender,,weekly
1,2015,1244,all,,weekly
1,2016,1317,all,,weekly
1,2017,1334,all,,weekly
1,2018,1376,all,,weekly
1,2019,1330,all,,weekly
1,2020,1325,all,,weekly
1,2021,1420,all,,weekly
1,2022,1432,all,,weekly
2,2015,1205,all,,weekly
2,2016,1272,all,,weekly
2,2017,1224,all,,weekly
2,2018,1263,all,,weekly
2,2019,1420,all,,weekly
2,2020,1248,all,,weekly
2,2021,1395,all,,weekly
2,2022,1650,all,,weekly
3,2015,1173,all,,weekly
3,2016,1347,all,,weekly
3,2017,1316,all,,weekly
3,2018,1282,all,,weekly
3,2019,1397,all,,weekly
3,2020,1394,all,,weekly
3,2021,1452,all,,weekly
3,2022,1791,all,,weekly
4,2015,1324,all,,weekly
4,2016,1228,all,,weekly
4,2017,1367,all,,weekly
4,2018,1264,all,,weekly
4,2019,1422,all,,weekly
4,2020,1324,all,,weekly
4,2021,1417,all,,weekly
4,2022,1916,all,,weekly
5,2015,1151,all,,weekly
5,2016,1195,all,,weekly
5,2017,1255,all,,weekly
5,2018,1340,all,,weekly
5,2019,1297,all,,weekly
5,2020,1297,all,,weekly
5,2021,1340,all,,weekly
5,2022,1620,all,,weekly
6,2015,1238,all,,weekly
6,2016,1140,all,,weekly
6,2017,1204,all,,weekly
6,2018,1389,all,,weekly
6,2019,1268,all,,weekly
6,2020,1306,all,,weekly
6,2021,1326,all,,weekly
6,2022,1500,all,,weekly
7,2015,1220,all,,weekly
7,2016,1171,all,,weekly
7,2017,1245,all,,weekly
7,2018,1278,all,,weekly
7,2019,1283,all,,weekly
7,2020,1280,all,,weekly
7,2021,1377,all,,weekly
7,2022,1368,all,,weekly
8,2015,1163,all,,weekly
8,2016,1148,all,,weekly
8,2017,1260,all,,weekly
8,2018,1277,all,,weekly
8,2019,1251,all,,weekly
8,2020,1223,all,,weekly
8,2021,1317,all,,weekly
8,2022,1269,all,,weekly
9,2015,1160,all,,weekly
9,2016,1076,all,,weekly
9,2017,1168,all,,weekly
9,2018,1188,all,,weekly
9,2019,1302,all,,weekly
9,2020,1210,all,,weekly
9,2021,1320,all,,weekly
9,2022,1183,all,,weekly
10,2015,1199,all,,weekly
10,2016,1082,all,,weekly
10,2017,1196,all,,weekly
10,2018,1167,all,,weekly
10,2019,1252,all,,weekly
10,2020,1139,all,,weekly
10,2021,1340,all,,weekly
10,2022,1200,all,,weekly
11,2015,1129,all,,weekly
11,2016,1091,all,,weekly
11,2017,1153,all,,weekly
11,2018,1210,all,,weekly
11,2019,1202,all,,weekly
11,2020,1160,all,,weekly
11,2021,1288,all,,weekly
11,2022,1119,all,,weekly
12,2015,1066,all,,weekly
12,2016,1015,all,,weekly
12,2017,1047,all,,weekly
12,2018,1184,all,,weekly
12,2019,1207,all,,weekly
12,2020,1149,all,,weekly
12,2021,1311,all,,weekly
12,2022,1053,all,,weekly
13,2015,1089,all,,weekly
13,2016,998,all,,weekly
13,2017,1091,all,,weekly
13,2018,1083,all,,weekly
13,2019,1143,all,,weekly
13,2020,1021,all,,weekly
13,2021,1473,all,,weekly
