death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119,all_age_groups
2020-07-21,2,,,1,3,3,1,2,7,3,11,12,13,15,17,15,8,5,7,,1,1,,,127
2020-07-22,4,,,1,3,2,2,9,5,4,8,19,13,11,13,21,14,5,4,1,,,,,139
2020-07-23,4,,,,2,1,3,5,8,8,7,8,12,14,14,12,11,3,,1,,,,,113
2020-07-24,4,,,,,1,1,6,4,4,14,7,13,18,20,16,12,6,5,,,,,,131
2020-07-25,4,,,,1,2,3,2,6,7,11,9,12,12,11,19,11,6,4,,,,,,120
2020-07-26,2,,,2,1,3,6,3,2,4,9,6,8,12,13,10,2,3,,1,,,,,87
2020-07-27,3,,,,2,4,3,2,8,7,6,14,18,16,16,10,7,6,8,,,1,,,131
2020-07-28,5,,,,4,,5,6,3,10,14,12,15,10,14,9,9,10,6,1,,,,,133
2020-07-29,,,,2,2,1,2,4,4,12,5,11,7,12,16,8,6,9,1,1,,,,,103
2020-07-30,1,,,,,2,2,4,2,10,13,10,13,14,13,9,11,8,3,2,,,,,117
2020-07-31,2,,1,,1,1,3,5,8,8,7,15,11,9,13,13,12,5,,,,,,,114
2020-08-01,4,,1,,,2,3,1,5,7,16,18,14,8,17,14,4,13,2,,,,,,129
2020-08-02,4,,,,2,3,1,3,4,8,11,16,17,11,16,9,10,11,1,1,1,,,,129
2020-08-03,3,,,,,3,2,6,7,10,9,13,16,10,21,5,9,5,1,2,,,,,122
2020-08-04,,,,2,,1,1,3,7,12,12,13,17,11,12,10,6,8,1,,,,,,116
2020-08-05,2,,,1,,,4,4,5,10,9,13,16,16,13,10,10,3,2,1,1,,,,120
2020-08-06,5,,1,,,2,4,4,5,5,11,12,8,11,22,9,15,6,3,,,,,,123
2020-08-07,2,,1,,1,2,5,7,5,6,18,5,14,7,20,13,7,4,2,,,,,,119
2020-08-08,4,,,1,2,2,3,4,8,8,19,14,13,11,22,15,10,5,3,1,1,,,,146
2020-08-09,1,,,2,1,3,3,,3,6,5,13,15,15,14,11,5,4,5,,,,,,106
2020-08-10,3,1,,1,,1,2,2,8,8,11,13,7,10,19,18,7,5,2,,,,,,118
2020-08-11,4,,1,,1,4,2,2,9,10,9,12,10,14,18,15,13,2,5,,,,,,131
2020-08-12,1,,,1,3,4,5,4,4,4,11,8,12,15,20,11,8,5,,1,,,,,117
2020-08-13,3,,,,3,4,2,5,2,7,9,15,16,14,18,16,7,7,4,,,,,,132
2020-08-14,6,,,,1,2,,3,7,9,12,17,12,14,17,14,13,5,3,1,1,,,,137
2020-08-15,3,,,1,1,1,4,3,8,9,14,12,19,12,24,13,7,4,3,1,,,,,139
2020-08-16,2,1,,,1,,1,8,4,7,13,13,13,10,16,9,9,7,3,2,,,,,119
2020-08-17,4,,,,3,1,1,5,5,6,16,15,20,15,17,13,10,8,1,1,,,,,141
2020-08-18,5,,,,1,6,2,10,7,7,7,12,11,15,19,14,11,8,4,,,,,,139
2020-08-19,4,,,3,1,2,,7,8,7,4,10,8,17,15,13,13,7,1,2,1,,,,123
2020-08-20,3,,2,2,1,1,5,3,7,3,13,13,20,22,12,13,10,7,7,,,,,,144
2020-08-21,5,,,,4,2,3,4,5,4,7,14,12,10,16,13,8,7,3,1,,,,,118
2020-08-22,2,,3,,2,2,2,5,5,4,14,11,17,19,20,7,11,4,2,,,,,,130
2020-08-23,2,,,,,2,2,7,5,8,13,9,10,24,16,12,9,6,3,1,,,,,129
2020-08-24,4,,,1,2,5,4,5,6,5,13,21,18,21,14,15,8,7,5,2,,,,,156
2020-08-25,2,,2,,,1,6,5,5,9,11,14,23,19,15,9,7,8,3,1,,,,,140
2020-08-26,2,1,,2,1,2,2,5,7,8,8,14,13,17,15,12,8,7,5,,,,,,129
2020-08-27,2,,,,1,5,4,2,3,10,14,16,12,18,17,12,10,10,1,2,,,,,139
2020-08-28,3,,,,1,4,4,3,7,3,8,20,14,18,16,11,4,10,2,,,,,,128
2020-08-29,3,,,1,2,1,5,4,4,11,11,15,16,16,19,15,14,4,4,3,,,,,148
2020-08-30,3,,1,1,,,2,6,,11,13,17,27,14,16,18,16,5,2,,,,,,152
2020-08-31,5,,,5,,2,4,7,8,10,6,19,16,15,21,16,15,6,5,1,,,,,161
2020-09-01,2,,,,3,3,5,7,7,12,15,11,12,15,26,13,20,9,2,2,,1,,,165
2020-09-02,3,,,,,,4,4,4,7,14,13,20,24,24,11,15,3,3,,,,,,149
2020-09-03,1,1,,,,1,3,10,6,7,14,18,8,12,11,16,14,4,4,1,,,,,131
2020-09-04,2,,,,3,1,3,1,7,10,12,13,20,12,23,8,9,3,5,1,,,,,133
2020-09-05,3,,,,4,3,1,4,13,13,12,13,18,19,19,17,10,12,4,1,,,,,166
2020-09-06,2,,,,1,2,1,5,7,15,20,20,23,17,20,14,6,9,5,,1,,,,168
2020-09-07,4,,,1,3,4,6,4,5,10,13,20,18,18,25,22,15,2,4,,,,,,174
2020-09-08,4,,1,,2,8,3,5,6,12,11,9,24,19,16,21,14,8,2,2,,,,,167
2020-09-09,4,,,1,,6,3,4,12,8,11,11,17,18,12,16,11,12,2,3,,,,,151
2020-09-10,4,,,,1,3,2,4,10,14,14,13,18,9,18,9,17,4,1,,,,,,141
2020-09-11,4,2,,,,1,4,6,7,15,11,19,15,26,20,17,12,10,1,1,,,,,171
2020-09-12,5,,,,1,2,4,6,10,11,12,13,15,14,17,11,10,9,4,3,,,,,147
2020-09-13,1,,,,,2,4,3,4,8,18,9,16,7,6,10,12,6,,,,1,,,107
2020-09-14,,2,,,2,2,5,1,3,11,13,19,19,18,17,19,9,4,4,1,,,,,149
2020-09-15,3,,,3,3,2,2,5,7,7,17,12,17,10,14,7,8,5,2,,,,,,124
2020-09-16,7,,1,1,1,1,5,6,8,11,11,17,24,15,19,9,10,7,2,,,,,,155
2020-09-17,1,,1,3,6,2,3,8,5,10,11,17,18,21,20,9,12,7,4,,,,,,158
2020-09-18,2,,,1,3,,5,9,6,9,13,13,20,11,18,11,15,6,4,2,,,,,148
2020-09-19,6,,,,4,4,4,5,10,8,10,15,20,19,15,9,12,8,3,1,,,,,153
2020-09-20,7,,1,,,4,2,3,6,5,8,14,15,11,15,6,8,6,4,1,,,,,116
2020-09-21,3,2,,2,2,6,3,2,5,12,18,11,22,23,14,18,7,7,1,,,,,,158
2020-09-22,3,1,,3,2,2,5,4,2,12,19,11,20,13,21,11,12,10,2,,,,,,153
2020-09-23,8,,,1,,3,6,7,5,5,11,22,21,19,19,12,13,5,4,3,,,,,164
2020-09-24,5,,1,1,,2,2,3,6,10,11,20,18,14,23,10,10,6,2,,,,,,144
2020-09-25,4,1,,2,2,2,12,6,8,9,11,10,10,18,19,17,19,3,3,1,,,,,157
