death_date, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119
2015-05-24,3,,,2,6,5,7,17,7,19,17,15,12,22,21,24,18,24,8,5,2,,,
2015-05-25,9,2,,2,4,5,9,15,7,16,12,17,17,29,14,19,16,15,8,3,2,,,
2015-05-26,3,2,1,1,5,6,3,10,11,17,8,23,21,17,24,26,11,23,16,6,,,,
2015-05-27,5,,,3,3,8,2,10,8,14,16,15,26,10,13,15,12,14,6,2,,,,
2015-05-28,4,,,1,4,1,3,7,9,9,5,10,18,22,12,12,8,10,7,2,,,,
2015-05-29,4,,2,2,8,5,5,3,10,6,11,12,15,17,17,12,17,14,6,3,2,,,
2015-05-30,3,2,,1,5,3,3,8,4,10,16,13,16,14,16,19,10,8,5,,,,,
2015-05-31,6,1,3,2,1,3,5,6,7,11,16,8,12,16,15,13,18,13,4,2,2,,,
2015-06-01,7,,2,1,3,8,5,4,6,13,19,10,10,12,20,16,13,11,9,2,,,,
2015-06-02,8,,,4,2,2,5,4,5,7,10,18,13,13,18,12,13,6,7,4,1,,,
2015-06-03,7,2,3,1,4,4,4,4,13,4,11,14,15,12,11,12,10,6,2,2,,,,
2015-06-04,2,,,,,1,4,6,1,11,6,17,6,12,16,16,9,8,9,2,1,,,
2015-06-05,6,,,1,4,3,5,2,7,11,7,17,16,14,15,7,13,10,8,,,,,
2015-06-06,6,1,,1,1,2,6,4,11,13,9,16,12,14,23,15,10,15,1,,,,,
2015-06-07,4,2,1,2,,8,8,9,9,9,11,15,15,12,12,12,15,8,4,3,,,,
2015-06-08,8,1,2,3,2,7,3,4,11,8,8,23,14,15,11,11,14,6,3,2,,,,
2015-06-09,5,,1,2,1,5,4,14,13,14,7,14,10,19,13,14,10,10,5,,,,,
2015-06-10,5,1,3,3,2,7,5,4,7,15,11,20,17,12,11,13,8,8,7,,,,,
2015-06-11,5,1,,3,7,1,4,5,5,12,10,12,13,12,18,13,22,11,5,,,,,
2015-06-12,4,,,,6,4,4,4,11,7,10,13,13,22,9,8,11,7,5,2,,,,
2015-06-13,2,,1,2,5,4,7,6,6,15,7,11,14,19,11,15,4,10,6,1,,,,
2015-06-14,4,1,,,3,7,9,3,7,8,12,19,13,7,13,19,12,5,4,2,2,1,,
2015-06-15,8,1,1,4,6,3,5,6,8,13,9,18,14,17,17,14,14,5,8,6,,,,
2015-06-16,4,,,3,5,4,5,10,11,14,14,17,17,10,20,14,17,8,5,3,,,,
2015-06-17,9,2,1,3,2,4,5,4,6,12,8,10,16,17,20,11,13,7,3,,,,,
2015-06-18,9,,1,1,4,6,9,7,6,10,12,15,11,17,18,9,8,6,3,,,,,
2015-06-19,6,,,3,3,5,4,7,6,6,7,12,12,14,14,13,11,10,8,1,1,,,
2015-06-20,5,1,,1,3,5,6,2,9,11,8,16,9,10,20,9,9,7,1,3,,,,
2015-06-21,3,,1,4,3,5,5,4,6,7,11,13,20,16,19,13,16,9,2,1,,,,
2015-06-22,6,,,4,4,11,2,5,7,14,16,16,13,16,14,26,14,8,5,4,,,,
2015-06-23,5,,,3,3,2,6,5,7,11,19,21,7,17,12,8,13,14,6,2,,,,
2015-06-24,7,2,,1,7,3,9,7,10,9,11,8,15,13,20,14,14,12,4,3,,,,
