ZONE,DIV,YEAR,MONTH,DAY,DATE
1,008,2015,6,25,25-06-2015
1,008,2015,6,26,26-06-2015
1,008,2015,6,26,26-06-2015
1,008,2015,6,29,29-06-2015
1,008,2015,6,30,30-06-2015
1,008,2015,6,30,30-06-2015
1,008,2015,7,1,01-07-2015
1,008,2015,7,4,04-07-2015
1,008,2015,7,6,06-07-2015
1,008,2015,7,6,06-07-2015
1,008,2015,7,7,07-07-2015
1,008,2015,7,7,07-07-2015
1,008,2015,7,8,08-07-2015
1,008,2015,7,9,09-07-2015
1,008,2015,7,17,17-07-2015
1,008,2015,7,19,19-07-2015
1,008,2015,7,22,22-07-2015
1,008,2015,7,23,23-07-2015
1,008,2015,7,24,24-07-2015
1,008,2015,7,26,26-07-2015
1,008,2015,7,26,26-07-2015
1,008,2015,7,27,27-07-2015
1,008,2015,7,28,28-07-2015
1,008,2015,8,3,03-08-2015
1,008,2015,8,4,04-08-2015
1,008,2015,8,6,06-08-2015
1,008,2015,8,6,06-08-2015
1,008,2015,8,12,12-08-2015
1,008,2015,8,13,13-08-2015
1,008,2015,8,19,19-08-2015
1,008,2015,8,22,22-08-2015
1,008,2015,8,22,22-08-2015
1,008,2015,8,22,22-08-2015
1,008,2015,8,28,28-08-2015
1,008,2015,8,31,31-08-2015
1,008,2015,9,1,01-09-2015
1,008,2015,9,2,02-09-2015
1,008,2015,9,5,05-09-2015
1,008,2015,9,8,08-09-2015
1,008,2015,9,12,12-09-2015
1,008,2015,9,13,13-09-2015
1,008,2015,9,13,13-09-2015
1,008,2015,9,21,21-09-2015
1,008,2015,9,24,24-09-2015
1,008,2015,9,26,26-09-2015
1,008,2015,9,28,28-09-2015
1,008,2015,9,30,30-09-2015
1,008,2015,10,4,04-10-2015
1,008,2015,10,12,12-10-2015
1,008,2015,10,12,12-10-2015
1,008,2015,10,15,15-10-2015
1,008,2015,10,15,15-10-2015
1,008,2015,10,17,17-10-2015
1,008,2015,10,22,22-10-2015
1,008,2015,10,23,23-10-2015
1,008,2015,10,23,23-10-2015
1,008,2015,10,30,30-10-2015
1,008,2015,11,3,03-11-2015
1,008,2015,11,4,04-11-2015
1,008,2015,11,4,04-11-2015
1,008,2015,11,4,04-11-2015
1,008,2015,11,9,09-11-2015
1,008,2015,11,9,09-11-2015
1,008,2015,11,12,12-11-2015
1,008,2015,11,12,12-11-2015
1,008,2015,11,15,15-11-2015
1,008,2015,11,18,18-11-2015
1,008,2015,11,18,18-11-2015
1,008,2015,11,19,19-11-2015
1,008,2015,11,21,21-11-2015
1,008,2015,11,22,22-11-2015
1,008,2015,11,22,22-11-2015
1,008,2015,11,22,22-11-2015
1,008,2015,11,23,23-11-2015
1,008,2015,11,26,26-11-2015
1,008,2015,11,26,26-11-2015
1,008,2015,11,26,26-11-2015
1,008,2015,11,28,28-11-2015
1,008,2015,11,29,29-11-2015
1,008,2015,11,29,29-11-2015
1,008,2015,11,29,29-11-2015
1,008,2015,11,30,30-11-2015
1,008,2015,12,2,02-12-2015
1,008,2015,12,2,02-12-2015
1,008,2015,12,2,02-12-2015
1,008,2015,12,6,06-12-2015
1,008,2015,12,7,07-12-2015
1,008,2015,12,8,08-12-2015
1,008,2015,12,9,09-12-2015
1,008,2015,12,9,09-12-2015
1,008,2015,12,10,10-12-2015
1,008,2015,12,12,12-12-2015
1,008,2015,12,14,14-12-2015
1,008,2015,12,15,15-12-2015
1,008,2015,12,21,21-12-2015
1,008,2015,12,24,24-12-2015
1,008,2015,12,24,24-12-2015
1,008,2015,12,24,24-12-2015
1,008,2015,12,25,25-12-2015
1,008,2015,12,25,25-12-2015
1,008,2015,12,25,25-12-2015
1,008,2015,12,26,26-12-2015
1,008,2015,12,27,27-12-2015
1,008,2015,12,27,27-12-2015
1,008,2015,12,28,28-12-2015
1,008,2015,12,30,30-12-2015
1,008,2015,12,31,31-12-2015
1,009,2015,1,11,11-01-2015
1,009,2015,1,14,14-01-2015
1,009,2015,1,14,14-01-2015
1,009,2015,1,23,23-01-2015
1,009,2015,1,30,30-01-2015
1,009,2015,1,31,31-01-2015
1,009,2015,1,31,31-01-2015
1,009,2015,1,31,31-01-2015
1,009,2015,2,3,03-02-2015
1,009,2015,2,17,17-02-2015
1,009,2015,2,21,21-02-2015
1,009,2015,2,23,23-02-2015
1,009,2015,3,5,05-03-2015
1,009,2015,3,7,07-03-2015
1,009,2015,3,20,20-03-2015
1,009,2015,3,20,20-03-2015
1,009,2015,3,28,28-03-2015
1,009,2015,4,3,03-04-2015
1,009,2015,4,8,08-04-2015
1,009,2015,6,2,02-06-2015
1,009,2015,6,18,18-06-2015
1,009,2015,6,22,22-06-2015
1,009,2015,6,25,25-06-2015
1,009,2015,7,6,06-07-2015
1,009,2015,7,9,09-07-2015
1,009,2015,7,16,16-07-2015
1,009,2015,7,17,17-07-2015
1,009,2015,7,18,18-07-2015
1,009,2015,7,31,31-07-2015
1,009,2015,8,2,02-08-2015
1,009,2015,8,4,04-08-2015
1,009,2015,8,5,05-08-2015
1,009,2015,8,5,05-08-2015
1,009,2015,8,8,08-08-2015
1,009,2015,8,16,16-08-2015
1,009,2015,8,17,17-08-2015
1,009,2015,8,25,25-08-2015
1,009,2015,8,25,25-08-2015
1,009,2015,9,15,15-09-2015
