Date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
15-02-2015,160.887256,133.2793498,198.9587621,160.887256,160.887256,4.882981921,4.882981921,4.882981921,-2.565063118,-2.565063118,-2.565063118,7.448045039,7.448045039,7.448045039,0,0,0,165.770238
16-02-2015,160.9032136,136.8288498,204.544195,160.9032136,160.9032136,11.34494822,11.34494822,11.34494822,4.066748034,4.066748034,4.066748034,7.278200187,7.278200187,7.278200187,0,0,0,172.2481618
17-02-2015,160.9191712,137.6863953,206.2407028,160.9191712,160.9191712,8.323923326,8.323923326,8.323923326,1.219205056,1.219205056,1.219205056,7.10471827,7.10471827,7.10471827,0,0,0,169.2430945
18-02-2015,160.9351287,134.6771616,201.1408701,160.9351287,160.9351287,6.825302353,6.825302353,6.825302353,-0.093470163,-0.093470163,-0.093470163,6.918772516,6.918772516,6.918772516,0,0,0,167.7604311
19-02-2015,160.9510863,132.4114749,200.9699685,160.9510863,160.9510863,6.335867576,6.335867576,6.335867576,-0.370210702,-0.370210702,-0.370210702,6.706078278,6.706078278,6.706078278,0,0,0,167.2869539
20-02-2015,160.9670438,134.320139,199.527239,160.9670438,160.9670438,5.896963505,5.896963505,5.896963505,-0.551400635,-0.551400635,-0.551400635,6.44836414,6.44836414,6.44836414,0,0,0,166.8640073
21-02-2015,160.9830014,130.3855664,195.7510338,160.9830014,160.9830014,4.420005867,4.420005867,4.420005867,-1.705808472,-1.705808472,-1.705808472,6.125814339,6.125814339,6.125814339,0,0,0,165.4030073
22-02-2015,160.998959,131.2103362,197.2872846,160.998959,160.998959,3.155085623,3.155085623,3.155085623,-2.565063118,-2.565063118,-2.565063118,5.720148742,5.720148742,5.720148742,0,0,0,164.1540446
23-02-2015,161.0149165,137.50325,204.073083,161.0149165,161.0149165,9.28464658,9.28464658,9.28464658,4.066748034,4.066748034,4.066748034,5.217898547,5.217898547,5.217898547,0,0,0,170.2995631
24-02-2015,161.0308741,134.0531459,202.2238124,161.0308741,161.0308741,5.832591532,5.832591532,5.832591532,1.219205056,1.219205056,1.219205056,4.613386475,4.613386475,4.613386475,0,0,0,166.8634656
25-02-2015,161.0468317,131.0519265,197.4430841,161.0468317,161.0468317,3.817466989,3.817466989,3.817466989,-0.093470163,-0.093470163,-0.093470163,3.910937152,3.910937152,3.910937152,0,0,0,164.8642986
26-02-2015,161.0627892,132.3084459,197.3210331,161.0627892,161.0627892,2.755715387,2.755715387,2.755715387,-0.370210702,-0.370210702,-0.370210702,3.125926089,3.125926089,3.125926089,0,0,0,163.8185046
27-02-2015,161.0787468,129.7971989,196.0655205,161.0787468,161.0787468,1.733014214,1.733014214,1.733014214,-0.551400635,-0.551400635,-0.551400635,2.284414849,2.284414849,2.284414849,0,0,0,162.811761
28-02-2015,161.0947043,128.644055,196.4174964,161.0947043,161.0947043,-0.284509479,-0.284509479,-0.284509479,-1.705808472,-1.705808472,-1.705808472,1.421298993,1.421298993,1.421298993,0,0,0,160.8101949
01-03-2015,161.1106619,125.3312263,192.4609513,161.1106619,161.1106619,-1.987971022,-1.987971022,-1.987971022,-2.565063118,-2.565063118,-2.565063118,0.577092096,0.577092096,0.577092096,0,0,0,159.1226909
02-03-2015,161.1266194,131.9450146,196.8796637,161.1266194,161.1266194,3.860406532,3.860406532,3.860406532,4.066748034,4.066748034,4.066748034,-0.206341502,-0.206341502,-0.206341502,0,0,0,164.987026
03-03-2015,161.142577,128.5397742,193.2726395,161.142577,161.142577,0.328569955,0.328569955,0.328569955,1.219205056,1.219205056,1.219205056,-0.890635101,-0.890635101,-0.890635101,0,0,0,161.471147
04-03-2015,161.1585346,124.0003902,194.8161599,161.1585346,161.1585346,-1.539245105,-1.539245105,-1.539245105,-0.093470163,-0.093470163,-0.093470163,-1.445774942,-1.445774942,-1.445774942,0,0,0,159.6192894
05-03-2015,161.1744921,126.4802132,191.0717737,161.1744921,161.1744921,-2.224563114,-2.224563114,-2.224563114,-0.370210702,-0.370210702,-0.370210702,-1.854352413,-1.854352413,-1.854352413,0,0,0,158.949929
06-03-2015,161.1904497,126.0747818,189.9307546,161.1904497,161.1904497,-2.666043585,-2.666043585,-2.666043585,-0.551400635,-0.551400635,-0.551400635,-2.114642949,-2.114642949,-2.114642949,0,0,0,158.5244061
07-03-2015,161.2064072,122.7493829,189.7136144,161.2064072,161.2064072,-3.947862983,-3.947862983,-3.947862983,-1.705808472,-1.705808472,-1.705808472,-2.242054511,-2.242054511,-2.242054511,0,0,0,157.2585442
08-03-2015,161.2223648,120.9845445,191.2972022,161.2223648,161.2223648,-4.833726737,-4.833726737,-4.833726737,-2.565063118,-2.565063118,-2.565063118,-2.268663619,-2.268663619,-2.268663619,0,0,0,156.388638
09-03-2015,161.2383223,126.3251664,196.8586237,161.2383223,161.2383223,1.825973284,1.825973284,1.825973284,4.066748034,4.066748034,4.066748034,-2.24077475,-2.24077475,-2.24077475,0,0,0,163.0642956
10-03-2015,161.2542799,125.8095066,192.0036345,161.2542799,161.2542799,-0.99546914,-0.99546914,-0.99546914,1.219205056,1.219205056,1.219205056,-2.214674196,-2.214674196,-2.214674196,0,0,0,160.2588107
11-03-2015,161.2702374,125.6558328,195.5117639,161.2702374,161.2702374,-2.344444478,-2.344444478,-2.344444478,-0.093470163,-0.093470163,-0.093470163,-2.250974315,-2.250974315,-2.250974315,0,0,0,158.9257929
12-03-2015,161.286195,122.7584586,191.752752,161.286195,161.286195,-2.778341408,-2.778341408,-2.778341408,-0.370210702,-0.370210702,-0.370210702,-2.408130706,-2.408130706,-2.408130706,0,0,0,158.5078536
13-03-2015,161.3021525,122.4373308,192.9857502,161.3021525,161.3021525,-3.287240121,-3.287240121,-3.287240121,-0.551400635,-0.551400635,-0.551400635,-2.735839486,-2.735839486,-2.735839486,0,0,0,158.0149124
