Date,Male,Female,Total
14-07-2011,24,21,45
15-07-2011,32,20,52
16-07-2011,39,10,49
17-07-2011,24,19,43
18-07-2011,36,20,56
19-07-2011,40,27,67
20-07-2011,43,17,60
21-07-2011,46,20,66
22-07-2011,38,25,63
23-07-2011,21,16,37
24-07-2011,33,22,55
25-07-2011,28,24,52
26-07-2011,37,25,62
27-07-2011,32,17,49
28-07-2011,31,20,51
29-07-2011,36,21,57
30-07-2011,52,13,65
31-07-2011,30,29,59
01-08-2011,41,15,56
02-08-2011,33,20,53
03-08-2011,31,22,53
04-08-2011,46,20,66
05-08-2011,42,23,65
06-08-2011,40,12,52
07-08-2011,27,18,45
08-08-2011,19,16,35
09-08-2011,42,15,57
10-08-2011,40,19,59
11-08-2011,27,19,46
12-08-2011,35,24,59
13-08-2011,22,11,33
14-08-2011,28,13,41
15-08-2011,33,25,58
16-08-2011,29,14,43
17-08-2011,31,27,58
18-08-2011,31,26,57
19-08-2011,28,23,51
20-08-2011,34,24,58
21-08-2011,31,22,53
22-08-2011,39,26,65
23-08-2011,31,14,45
24-08-2011,30,13,43
25-08-2011,26,20,46
26-08-2011,37,13,50
27-08-2011,26,32,58
28-08-2011,33,24,57
29-08-2011,25,18,43
30-08-2011,25,17,42
31-08-2011,26,15,41
01-09-2011,32,21,53
02-09-2011,32,16,48
03-09-2011,35,31,66
04-09-2011,19,15,34
05-09-2011,23,25,48
06-09-2011,28,23,51
07-09-2011,23,27,50
08-09-2011,24,20,44
09-09-2011,26,22,48
10-09-2011,38,20,58
11-09-2011,28,19,47
12-09-2011,39,21,60
13-09-2011,32,18,50
14-09-2011,34,19,53
15-09-2011,26,21,47
16-09-2011,34,15,49
17-09-2011,26,26,52
18-09-2011,39,15,54
19-09-2011,31,15,46
20-09-2011,30,24,54
21-09-2011,29,24,53
22-09-2011,39,18,57
23-09-2011,33,24,57
24-09-2011,32,18,50
25-09-2011,30,20,50
26-09-2011,33,23,56
27-09-2011,39,20,59
28-09-2011,30,30,60
29-09-2011,41,19,60
30-09-2011,30,18,48
01-10-2011,31,25,56
02-10-2011,25,20,45
03-10-2011,26,21,47
04-10-2011,40,27,67
05-10-2011,35,18,53
06-10-2011,35,18,53
07-10-2011,41,11,52
08-10-2011,33,22,55
09-10-2011,33,20,53
10-10-2011,46,18,64
11-10-2011,29,21,50
12-10-2011,32,22,54
13-10-2011,40,22,62
14-10-2011,27,17,44
15-10-2011,31,14,45
16-10-2011,31,23,54
17-10-2011,31,16,47
18-10-2011,27,24,51
19-10-2011,35,21,56
20-10-2011,30,19,49
21-10-2011,38,15,53
22-10-2011,46,15,61
23-10-2011,37,24,61
24-10-2011,47,22,69
25-10-2011,36,24,60
26-10-2011,43,18,61
27-10-2011,37,22,59
28-10-2011,25,21,46
29-10-2011,28,22,50
30-10-2011,46,14,60
31-10-2011,40,20,60
01-11-2011,41,21,62
02-11-2011,50,24,74
03-11-2011,39,22,61
04-11-2011,46,21,67
05-11-2011,47,13,60
06-11-2011,25,26,51
07-11-2011,36,25,61
08-11-2011,47,27,74
09-11-2011,38,21,59
10-11-2011,23,22,45
11-11-2011,23,30,53
12-11-2011,45,19,64
13-11-2011,30,17,47
14-11-2011,35,23,58
15-11-2011,37,20,57
16-11-2011,60,20,80
17-11-2011,28,23,51
18-11-2011,36,23,59
19-11-2011,39,17,56
20-11-2011,41,22,63
21-11-2011,36,24,60
22-11-2011,36,22,58
23-11-2011,32,23,55
24-11-2011,24,13,37
25-11-2011,30,14,44
26-11-2011,32,20,52
27-11-2011,35,16,51
28-11-2011,33,18,51
29-11-2011,46,20,66
30-11-2011,46,22,68
01-12-2011,37,29,66
02-12-2011,41,25,66
03-12-2011,28,23,51
04-12-2011,32,25,57
05-12-2011,35,38,73
06-12-2011,34,26,60
07-12-2011,21,18,39
08-12-2011,29,20,49
09-12-2011,28,25,53
10-12-2011,36,12,48
11-12-2011,25,17,42
12-12-2011,32,33,65
13-12-2011,31,23,54
14-12-2011,30,9,39
15-12-2011,27,16,43
16-12-2011,45,25,70
17-12-2011,34,16,50
18-12-2011,28,20,48
19-12-2011,40,16,56
